,Open,High,Low,Close,Volume,Dividends,Stock Splits,fast_ma,slow_ma,ma_signal,bollinger_high,bollinger_low,bollinger_signal,ema,ema_signal,envelope_high,envelope_low,envelope_signal,macd_line,macd_signal_line,macd_signal,rsi,rsi_signal,atr,stochastic,stochastic_signal,cci,cci_signal,ad_line,chaikin,chaikin_signal,williams_r,williams_r_signal,momentum,momentum_signal,roc,roc_signal,obv,obv_signal,adl,adl_signal,sar,sar_signal,kc_middle,kc_high,kc_low,kc_signal,donchian_high,donchian_low,donchian_signal,ma_envelope_high,ma_envelope_low,ma_envelope_signal,hma,hma_signal,wma,wma_signal,vwap,vwap_signal,ulcer,ulcer_signal,cmo,cmo_signal,ha_close,ha_open,ha_high,ha_low,ha_signal,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ichimoku_signal,trix,trix_signal,proc,proc_signal,combined_signal_1,combined_signal_2,Year,Month,Day,Weekday,pr_change_on_last_day,sentiment,model_2_sentiment
2020-01-16,9.69013530149309,9.7795271808076,9.663317822949963,9.699074745178223,8511200,0.0,0.0,9.292338943481445,9.011110324859619,1,9.771700341051842,8.812977545911048,0,9.330310580577775,1,9.756955890655517,8.827721996307373,0,0.18024657740795114,0.12748253881454322,1,73.61105657567687,-1,0.18772426187909794,74.13798170676253,0,138.84592547454483,-1,-3273509.6439102953,-542573.3095806628,-1,-25.862018293237472,0,0.6078691482543945,1,6.686342551312204,1,1316014000.0,-1,1345022757.0172575,-1,9.699074745178223,-1,9.292338943481445,9.667787467239641,8.916890419723249,-1,9.967251381742878,8.9302996886309,0,9.524647417068481,9.060030469894409,-1,9.419946587085725,1,9.38058196022397,1,4.528521665726383,1,0.0964567365910997,1,47.22211315135373,0,9.70801376260722,9.69013530149309,9.7795271808076,9.663317822949963,1,9.44877553518689,9.408548995847331,8.789506495441504,8.957604584682915,9.851042747497559,1,9.04910501429949,1,0.06791354726009892,1,0,0,2020,1,16,3,0.0,1,0
2020-01-17,9.690135145303651,9.761648988607481,9.582864380347909,9.725892066955566,6604300,0.0,0.0,9.316921806335449,9.03184934616089,1,9.832774863267305,8.801068749403592,0,9.36798500785185,1,9.782767896652222,8.851075716018675,0,0.1889571728164121,0.139777465614917,1,72.46369080888691,-1,0.18963975412068482,76.7241505664577,0,109.36686634547561,-1,3962579.9999999735,1094849.4717190294,1,-23.27584943354231,0,0.5542325973510742,1,6.042882416075727,1,1322618300.0,1,1348985337.0172575,1,9.72535572052002,1,9.316921806335449,9.696201314576818,8.93764229809408,-1,9.967251381742878,8.9302996886309,0,9.549844851493834,9.083998761177062,-1,9.496265327930452,1,9.421872733888172,1,4.529078829387365,1,0.09499584775257891,1,44.92738161777382,0,9.690135145303651,9.694605023335656,9.761648988607481,9.582864380347909,-1,9.44877553518689,9.408548995847331,8.80738506388842,8.957604584682915,9.833163261413574,1,9.0696648219691,1,0.054263521816424236,1,0,0,2020,1,17,4,0.0027649360874011375,0,1
2020-01-21,9.627560900721704,9.752709702264474,9.627560900721704,9.699074745178223,15790000,0.0,0.0,9.342845630645751,9.04919147491455,1,9.881462114339476,8.804229146952027,0,9.399517363787695,1,9.80998791217804,8.875703349113463,0,0.19148908175172608,0.1501197888422788,1,76.3358896742233,-1,0.1890011625024177,74.13798170676253,0,94.54788318071729,0,2255775.7493190747,1122098.3959687059,1,-25.862018293237472,0,0.6168088912963867,1,6.791354726009892,1,1306828300.0,-1,1351241112.7665765,1,9.69961109161377,-1,9.342845630645751,9.720847955650587,8.964843305640915,0,9.967251381742878,8.9302996886309,0,9.576416771411894,9.109274489879608,-1,9.572137033939363,1,9.458268251873198,1,4.530403577638382,1,0.08617405991229325,1,52.67177934844661,-1,9.676726562221527,9.708013606129608,9.752709702264474,9.627560900721704,-1,9.44877553518689,9.408548995847331,8.816324236203648,8.957604584682915,9.4934720993042,1,9.091689464128043,1,0.054421831478164186,1,0,0,2020,1,21,1,-0.002757312295131986,1,0
2020-01-22,9.77952759065975,9.895737805899936,9.761649555052502,9.86892032623291,22364600,0.0,0.0,9.376367807388306,9.06742753982544,1,9.958821627617302,8.793913987159309,0,9.444222407830097,1,9.845186197757721,8.90754941701889,-1,0.20483949457148398,0.16106372998811985,1,76.86565619412028,-1,0.19283215162885003,90.5172964022202,-1,114.89074257754665,-1,13418816.876263505,4583113.460283283,1,-9.482703597779798,-1,0.6436252593994141,1,6.976744426455868,1,1329192900.0,1,1364659929.6428401,1,9.865523414611816,1,9.376367807388306,9.762032110646006,8.990703504130606,-1,9.967251381742878,8.9302996886309,0,9.610777002573013,9.141958612203597,-1,9.665998995304108,1,9.50837060383388,1,4.532340379437151,1,0.08614093162581564,1,53.73131238824056,-1,9.826458819461275,9.663317822949963,9.895737805899936,9.663317822949963,1,9.520288539170597,9.44877553518689,8.816324236203648,8.909037375358729,9.001813888549805,1,9.115267088639424,1,0.07080499376555378,1,0,0,2020,1,22,2,0.017511524090390695,1,0
2020-01-23,9.913615381083643,9.940432857199026,9.725891343251583,9.886797904968262,27833700,0.0,0.0,9.410783863067627,9.092099838256836,1,10.029212010362507,8.792355715772747,0,9.486372455176587,1,9.881323056221008,8.940244669914245,-1,0.21439099813768792,0.17172918361803347,1,78.94737264282236,-1,0.20113281880510595,92.2413476626699,-1,102.23286629333728,-1,13916960.601292018,5740836.857258929,1,-7.758652337330098,-1,0.6883211135864258,1,7.482990164538135,1,1357026600.0,1,1378576890.2441323,1,9.886440353393555,1,9.410783863067627,9.813049500677838,9.008518225457415,-1,9.967251381742878,8.9302996886309,0,9.646053459644316,9.175514266490936,-1,9.775839793682099,1,9.55698299407959,1,4.534756918433017,1,0.08560916403403812,1,57.89474528564473,-1,9.866684371625627,9.82422395844633,9.940432857199026,9.725891343251583,1,9.730361661944091,9.44877553518689,8.829733299760608,8.909037375358729,9.2610502243042,1,9.140378885072613,1,0.08325148302313111,1,0,0,2020,1,23,3,0.0018115029957057605,0,0
2020-01-24,9.895737505833472,9.940433872264732,9.779527294117104,9.859980583190918,21191300,0.0,0.0,9.446093845367432,9.114269161224366,1,10.083100796656188,8.809086894078677,0,9.521954181654142,1,9.918398537635804,8.97378915309906,0,0.2172918940875146,0.1808417257119297,1,76.86568055393008,-1,0.20687948212217197,89.65517880297473,-1,92.96056071336722,0,0.0,1264432.8867688756,1,-10.344821197025263,-1,0.6436243057250977,1,6.983500706225651,1,1335835300.0,-1,1378576890.2441323,-1,9.860516929626465,-1,9.446093845367432,9.859852809611777,9.032334881123088,-1,9.967251381742878,8.9302996886309,0,9.682246191501617,9.209941499233246,-1,9.882105028629303,-1,9.599763634091332,1,4.536586086617723,1,0.0857756760221026,-1,53.73136110786016,-1,9.868919813851557,9.900206643025953,9.940433872264732,9.779527294117104,-1,9.76164912630632,9.44877553518689,8.858785482046198,8.909037375358729,9.126964569091797,1,9.16684490639988,1,0.09207922590889012,1,0,0,2020,1,24,4,-0.0027124375389394606,0,0
2020-01-27,9.681193950291116,9.84210049487048,9.681193950291116,9.82422161102295,13542100,0.0,0.0,9.482744646072387,9.136438426971436,1,10.118125034481938,8.847364257662836,0,9.550741555879743,1,9.956881878376008,9.008607413768766,0,0.21423584733295442,0.18752055003613466,1,80.46857614362334,-1,0.21071076759981722,86.20670840599288,-1,68.84477147218875,0,10532680.667994685,2669535.7580422657,1,-13.79329159400712,-1,0.6972570419311523,1,7.639528308156178,1,1322293200.0,-1,1389109570.912127,1,9.824936790466309,-1,9.482744646072387,9.904166181272021,9.061323110872753,0,9.967251381742878,8.9302996886309,0,9.719813262224196,9.245676029920578,-1,9.972279620170594,-1,9.635775802249,1,4.537746493764186,1,0.08255449298356161,1,60.937152287246676,-1,9.757177501618916,9.877859044512196,9.877859044512196,9.681193950291116,-1,9.76164912630632,9.44877553518689,8.954882409056994,8.909037375358729,9.359382629394531,1,9.19436487962967,1,0.08919696509760745,1,0,0,2020,1,27,0,-0.003626677747107343,1,0
2020-01-28,9.82422185750895,9.958310932193367,9.788464941428865,9.922554016113281,15422800,0.0,0.0,9.520289373397826,9.161289482116699,1,10.166913040788677,8.873665706006976,0,9.586152266378175,1,9.996303842067718,9.044274904727935,0,0.21724425501299294,0.19346529103150634,1,89.06246353571083,-1,0.2158188127426639,95.68954215258991,-1,85.33524450749196,0,8929013.919590456,2491407.8983398285,1,-4.310457847410086,-1,0.8939228057861328,1,9.90097817666585,1,1337716000.0,1,1398038584.8317175,1,9.920587368011473,1,9.520289373397826,9.951926998883154,9.088651747912499,0,9.967251381742878,8.9302996886309,0,9.75829660773277,9.28228213906288,-1,10.02926721572876,-1,9.677662408919561,1,4.539092006292941,1,0.061609704834771205,1,78.12492707142167,-1,9.873387936811115,9.752707780657033,9.958310932193367,9.752707780657033,1,9.770587656270639,9.44877553518689,8.988405250337557,8.909037375358729,9.055448532104492,1,9.222830663851637,1,0.059160396262148036,1,0,0,2020,1,28,1,0.010009180267269269,0,0
2020-01-29,9.994068661941984,10.074521942800324,9.868919019216545,9.886797904968262,19730500,0.0,0.0,9.560515975952148,9.182564888000488,1,10.192335504372966,8.92869644753133,0,9.614785184339135,1,10.038541774749756,9.08249017715454,0,0.21427321222068052,0.1976268752693412,1,87.02289392503118,-1,0.2222040064970599,81.25002580221567,-1,91.51697172673683,0,-16299037.556028396,-5835061.50453897,-1,-18.74997419778433,-1,0.8671054840087891,1,9.613470654430037,1,1317985500.0,-1,1381739547.2756891,-1,9.887513027191162,-1,9.560515975952148,10.004923988946269,9.116107962958027,0,10.074521942800324,8.9302996886309,0,9.799528875350951,9.321503076553345,-1,10.050386166572572,-1,9.712567983354841,1,4.540800923942921,1,0.02448125093093972,1,74.04578785006238,-1,9.956076882231779,9.873387936811117,10.074521942800324,9.868919019216545,1,9.828693161574115,9.502410815715612,8.988405250337557,8.909037375358729,8.742576599121094,1,9.252003739398894,1,0.038497619943688846,1,0,0,2020,1,29,2,-0.0036035189213337038,0,0
2020-01-30,9.833162100225303,9.904675938207784,9.806344624109922,9.886797904968262,10487100,0.0,0.0,9.593591117858887,9.204019088745117,1,10.220763241030198,8.966418994687576,0,9.640691157732384,1,10.073270673751832,9.113911561965942,0,0.20950361217290592,0.20000222265005416,1,81.52177568326954,-1,0.20241007390665317,67.69227474048027,0,69.37766941559988,0,6673691.746356516,-1401379.5272724638,-1,-32.307725259519735,0,0.5184774398803711,1,5.534369173349013,1,1317985500.0,-1,1388413239.0220456,1,9.886797904968262,-1,9.593591117858887,9.998411265672193,9.188770970045582,0,10.074521942800324,8.9302996886309,0,9.833430895805359,9.353751339912415,-1,10.056866979599,-1,9.743642452784947,1,4.541708798589658,1,0.026280278515900073,-1,63.04355136653907,-1,9.857745141877817,9.940433283455123,9.940433283455123,9.806344624109922,-1,9.828693161574115,9.502410815715612,8.988405250337557,8.909037375358729,8.116829872131348,1,9.281636946641669,1,0.016544069881197297,1,0,0,2020,1,30,3,0.0,0,0
